SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"1","Alberton Primary School","Primary","Alberton","VIC","3971",146.666601,-38.617713,"21 Thomson Street",1222
"1002","Sunbury Primary School","Primary","Sunbury","VIC","3429",144.728144,-37.597687,"41 The Heights",1227
"1003","Westbourne Grammar School","Primary","Newport","VIC","3015",144.894928,-37.850191,"67 The Strand",1232
"1003","Diamond Creek Primary School","Primary","Diamond Creek","VIC","3089",145.1516539,-37.67184929,"17 Clyde Street",1233
"1004","Hesket Primary School","Primary","Hesket","VIC","3442",144.6197775,-37.34780909,"800 Romsey Road",1237
"1008","Axedale Primary School","Primary","Axedale","VIC","3551",144.50146,-36.786228,"81 High Street",1244
"1013","St Brigid's School","Primary","Healesville","VIC","3777",145.5157966,-37.65867854,"1 High Street",1251
"1015","St James School","Primary","Nar Nar Goon","VIC","3812",145.5731875,-38.07303246,"60 Nar Nar Goon Road",1255
"1022","Vermont Primary School","Primary","Vermont","VIC","3133",145.194176,-37.837658,"4-10 Nurlendi Road",1271
"1023","Tarnagulla Primary School","Primary","Tarnagulla","VIC","3551",143.828403,-36.771263,"51 Stanley Street",1273
"1024","St Mary's School","Primary","Malvern East","VIC","3145",145.052923,-37.873016,"91 Manning Road",1274
"1026","Balwyn Primary School","Primary","Balwyn","VIC","3103",145.081524,-37.813944,"86B Balwyn Road",1278
"1028","Scoresby Primary School","Primary","Scoresby","VIC","3179",145.227501,-37.89395,"11 Ingrid Street",1281
"1030","Carisbrook Primary School","Primary","Carisbrook","VIC","3464",143.812657,-37.052061,"2 Camp Street",1284
"1033","Wandin Yallock Primary School","Primary","Wandin North","VIC","3139",145.4364086,-37.79035398,"105 Beenak Road",1287
"1033","Holy Rosary School","Primary","Kensington","VIC","3031",144.92878,-37.795584,"37 Gower Street",1288
"1034","Yering Primary School","Primary","Yering","VIC","3770",145.3822185,-37.7053494,"22-24 Melba Highway",1290
"1035","Dartmoor Primary School","Primary","Dartmoor","VIC","3304",141.276732,-37.923017,"76 Greenham Street",1292
"1036","St Aloysius' School","Primary","Queenscliff","VIC","3225",144.6553031,-38.26868368,"34 Stevens Street",1294
"104","St Patrick's School","Primary","Wangaratta","VIC","3677",146.32195,-36.356163,"Ovens Street",1297
"1041","St Anthony's School","Primary","Alphington","VIC","3078",145.020362,-37.780069,"52 Austin Street",1300
"1045","St Joseph's School","Primary","Malvern","VIC","3144",145.031163,-37.858069,"49 Stanhope Street",1309
"105","Cudgee Primary School","Primary","Cudgee","VIC","3265",142.650844,-38.347938,"3 Hallowells Road",1314
"1051","Mickleham Primary School","Primary","Mickleham","VIC","3064",144.877199,-37.563336,"1880 Mickleham Road",1317
"1052","Inglewood Primary School","Primary","Inglewood","VIC","3517",143.870446,-36.573945,"77 Sullivan Street",1319
"1054","Chewton Primary School","Primary","Chewton","VIC","3451",144.261164,-37.082327,"1 Hunter Street",1321
"1058","St Mary's School","Primary","Yarram","VIC","3971",146.675973,-38.556897,"5 Buckley Street",1327
"1067","Holy Rosary School","Primary","White Hills","VIC","3550",144.310571,-36.724874,"556 Napier Street",1345
"107","St Mary's School","Primary","St Kilda East","VIC","3183",144.997592,-37.859021,"214 Dandenong Road",1348
"1070","Bolinda Primary School","Primary","Bolinda","VIC","3432",144.7454039,-37.43373498,"1 Mullalys Road",1350
"1070","St Columba's School","Primary","Elwood","VIC","3184",144.981123,-37.88253,"24 Glenhuntly Road",1351
"1072","Napoleons Primary School","Primary","Napoleons","VIC","3352",143.826459,-37.67862938,"4721 Colac-Ballarat Road",1355
"1072","Our Lady of the Rosary","Primary","Kyneton","VIC","3444",144.4621207,-37.25051173,"43-47 Edgecombe Street",1356
"1075","Kew Primary School","Primary","Kew","VIC","3101",145.033156,-37.80463,"Peel Street",1358
"1076","Haddon Primary School","Primary","Haddon","VIC","3351",143.7217144,-37.58863962,"398 Sago Hill Road",1360
"1079","Panmure Primary School","Primary","Panmure","VIC","3265",142.732528,-38.32935021,"8759 Princes Highway",1364
"1081","Dargo Primary School","Primary","Dargo","VIC","3862",147.249612,-37.459165,"137 Lind Avenue",1367
"1084","St Mary's School","Primary","Swan Hill","VIC","3585",143.5455991,-35.32846453,"2 Murlong Street",1370
"1090","Sorrento Primary School","Primary","Sorrento","VIC","3943",144.740919,-38.341789,"32 Kerferd Avenue",1375
"1091","Alfredton Primary School","Primary","Alfredton","VIC","3350",143.8017398,-37.55496802,"89A Cuthberts Road",1378
"1097","St Mary's School","Primary","Hastings","VIC","3915",145.1916974,-38.30344093,"69 Marine Parade",1381
"1097","Bridgewater Primary School","Primary","Bridgewater On Loddon","VIC","3516",143.945917,-36.603101,"34 - 44 Eldon Street",1382
"1098","Hastings Primary School","Primary","Hastings","VIC","3915",145.189121,-38.299463,"10 - 20 Hodgins Road",1385
"1099","St Brendan's School","Primary","Coragulac","VIC","3249",143.518801,-38.270651,"727 Corangamite Lake Road",1388
"1101","Our Lady of the Immaculate Conception School","Primary","Sunshine","VIC","3020",144.835562,-37.78945,"32 Station Place",1390
"1103","Yackandandah Primary School","Primary","Yackandandah","VIC","3749",146.836458,-36.312095,"39 High Street",1392
"1104","Nagambie Primary School","Primary","Nagambie","VIC","3608",145.157226,-36.787589,"31 Goulburn Street",1394
"1108","Heyfield Primary School","Primary","Heyfield","VIC","3858",146.784936,-37.982114,"22 Temple Street",1396
"1108","St Mary's School","Primary","Thornbury","VIC","3071",145.001658,-37.75684,"2 Mansfield Street",1397
"1109","St John's School","Primary","Dennington","VIC","3280",142.446138,-38.3515,"263 Russell Street",1399
"1111","Moorabbin Primary School","Primary","Moorabbin","VIC","3189",145.039171,-37.942362,"61 Worthing Road",1403
"1112","Mansfield Primary School","Primary","Mansfield","VIC","3722",146.085062,-37.055507,"4 Apollo Street",1406
"1115","Middle Indigo Primary School","Primary","Indigo Valley","VIC","3688",146.72484,-36.156013,"710 Indigo Creek Road",1408
"1117","Briagolong Primary School","Primary","Briagolong","VIC","3860",147.067843,-37.842801,"2 Church Street",1412
"1120","Lindenow Primary School","Primary","Lindenow","VIC","3865",147.453266,-37.800879,"140 Henry Street",1417
"1125","Broadford Primary School","Primary","Broadford","VIC","3658",145.046301,-37.20257,"17-23 Powlett Street",1427
"1126","Murchison Primary School","Primary","Murchison","VIC","3610",145.214287,-36.61718,"8-10 Impey Street",1428
"113","St Brendan's School","Primary","Flemington","VIC","3031",144.931728,-37.784696,"103 Wellington Street",1431
"113","Newport Lakes Primary School","Primary","Newport","VIC","3015",144.878345,-37.838424,"Elizabeth Street",1432
"1130","St Aloysius' School","Primary","Caulfield","VIC","3161",145.025531,-37.87345,"Cromwell Street",1435
"1134","Panton Hill Primary School","Primary","Panton Hill","VIC","3759",145.2395564,-37.64160566,"585 Kangaroo Grd-St Andrews Rd",1443
"1134","St Joan of Arc School","Primary","Brighton","VIC","3186",144.994149,-37.92011,"30 Dendy Street",1444
"1135","Glen Park Primary School","Primary","Glen Park","VIC","3352",143.934795,-37.524779,"265 Ralstons Road",1447
"1136","Concongella Primary School","Primary","Concongella","VIC","3384",142.822316,-37.049558,"61 Concongella School Road",1450
"1136","St John's School","Primary","Euroa","VIC","3666",145.569867,-36.75337,"37 Anderson Street",1452
"1141","Bruthen Primary School","Primary","Bruthen","VIC","3885",147.833492,-37.704214,"31 Great Alpine Road",1461
"1142","Swan Hill Primary School","Primary","Swan Hill","VIC","3585",143.54325,-35.346911,"123 Gray Street",1463
"1144","Porepunkah Primary School","Primary","Porepunkah","VIC","3740",146.911022,-36.699486,"2 Martley Street",1466
"1146","Leopold Primary School","Primary","Leopold","VIC","3224",144.464536,-38.18689,"1 Kensington Road",1470
"1146","St John's School","Primary","Footscray","VIC","3011",144.885221,-37.795825,"34 Essex Street",1471
"1147","Inverleigh Primary School","Primary","Inverleigh","VIC","3321",144.0546877,-38.10094228,"54 High Street",1473
"1148","Glen Iris Primary School","Primary","Glen Iris","VIC","3146",145.065883,-37.860436,"170 Glen Iris Road",1476
"1150","Trawalla Primary School","Primary","Trawalla","VIC","3373",143.469859,-37.437731,"11 Trawalla Road",1479
"1152","St Joseph's School","Primary","Cobram","VIC","3644",145.653746,-35.917069,"Broadway Street",1482
"116","Cavendish Primary School","Primary","Cavendish","VIC","3314",142.039893,-37.53087,"8-10 Barker Street",1488
"1164","Mary Immaculate School","Primary","Ivanhoe","VIC","3079",145.038756,-37.771941,"9 Rockbeare Grove",1494
"1165","Quarry Hill Primary School","Primary","Quarry Hill","VIC","3550",144.280277,-36.77507,"25 Peel Street",1497
"1167","Sebastopol Primary School","Primary","Sebastopol","VIC","3356",143.844719,-37.59643401,"9 Warreen Street",1502
"117","Colac Primary School","Primary","Colac","VIC","3250",143.598336,-38.337224,"53-65 Murray Street East",1506
"1173","St Joseph's School","Primary","Nagambie","VIC","3608",145.154053,-36.78161,"367 High Street",1510
"1176","Our Lady of Lourdes School","Primary","Prahran East","VIC","3181",145.009457,-37.852457,"7 Wynnstay Road",1516
"1176","Woodside Primary School","Primary","Woodside","VIC","3874",146.87668,-38.526681,"41 Beach Road",1517
"1177","St Joseph's School","Primary","Orbost","VIC","3888",148.455631,-37.709168,"4-8 Raymond Street",1520
"1178","Noorat Primary School","Primary","Noorat","VIC","3265",142.928735,-38.190751,"Mackinnon'S Bridge Road",1523
"1181","Albert Park Primary School","Primary","Albert Park","VIC","3206",144.952395,-37.841787,"Bridport Street",1526
"1183","Williamstown Primary School","Primary","Williamstown","VIC","3016",144.899736,-37.863809,"Cecil Street",1531
"1184","Boneo Primary School","Primary","Boneo","VIC","3939",144.886977,-38.412073,"582 Boneo Road",1533
"1188","St Mary's School","Primary","Myrtleford","VIC","3737",146.7269257,-36.55357176,"43 O'Donnell Avenue",1540
"119","Castlemaine Primary School","Primary","Castlemaine","VIC","3450",144.222329,-37.066595,"Cnr Mostyn & Urquhart Street",1545
