PropertyMedianID,StateCode,City,Suburb,Median,UpdatedYear,UpdatedMonth,Postcode,Quater,District,No of Sales
3249,VIC,,Abbotsford,1350000,2017,3,,Q1,,
3252,VIC,,Aberfeldie,1350000,2017,3,,Q1,,
3255,VIC,,Aintree,467000,2017,3,,Q1,,
3258,VIC,,Aireys Inlet,802500,2017,3,,Q1,,
3261,VIC,,Airport West,762500,2017,3,,Q1,,
3264,VIC,,Albanvale,465000,2017,3,,Q1,,
3267,VIC,,Albert Park,1929000,2017,3,,Q1,,
3270,VIC,,Albion,666300,2017,3,,Q1,,
3273,VIC,,Alexandra,335000,2017,3,,Q1,,
3276,VIC,,Alfredton,405000,2017,3,,Q1,,
3279,VIC,,Allansford,270000,2017,3,,Q1,,
3282,VIC,,Alphington,1583500,2017,3,,Q1,,
3285,VIC,,Altona,847500,2017,3,,Q1,,
3288,VIC,,Altona East,810000,2017,3,,Q1,,
3291,VIC,,Altona Meadows,544000,2017,3,,Q1,,
3294,VIC,,Altona North,800000,2017,3,,Q1,,
3297,VIC,,Anglesea,762500,2017,3,,Q1,,
3300,VIC,,Apollo Bay,500000,2017,3,,Q1,,
3303,VIC,,Ararat,225000,2017,3,,Q1,,
3306,VIC,,Ardeer,548000,2017,3,,Q1,,
3309,VIC,,Armadale,2050000,2017,3,,Q1,,
3312,VIC,,Armstrong Creek,475000,2017,3,,Q1,,
3315,VIC,,Ascot (Bendigo),386500,2017,3,,Q1,,
3318,VIC,,Ascot Vale,1262000,2017,3,,Q1,,
3321,VIC,,Ashburton,1755000,2017,3,,Q1,,
3324,VIC,,Ashwood,1325000,2017,3,,Q1,,
3327,VIC,,Aspendale,1045600,2017,3,,Q1,,
3330,VIC,,Aspendale Gardens,831000,2017,3,,Q1,,
3333,VIC,,Attwood,665000,2017,3,,Q1,,
3336,VIC,,Avenel,390000,2017,3,,Q1,,
3339,VIC,,Avoca,215000,2017,3,,Q1,,
3342,VIC,,Avondale Heights,850000,2017,3,,Q1,,
3345,VIC,,Bacchus Marsh,409500,2017,3,,Q1,,
3348,VIC,,Badger Creek,455000,2017,3,,Q1,,
3351,VIC,,Bairnsdale,290000,2017,3,,Q1,,
3354,VIC,,Balaclava,1270000,2017,3,,Q1,,
3357,VIC,,Balcombe,1143800,2017,3,,Q1,,
3360,VIC,,Ballan,444500,2017,3,,Q1,,
3363,VIC,,Ballarat Central,497000,2017,3,,Q1,,
3366,VIC,,Ballarat East,297500,2017,3,,Q1,,
3369,VIC,,Ballarat North,295000,2017,3,,Q1,,
3372,VIC,,Balnarring,725000,2017,3,,Q1,,
3375,VIC,,Balnarring Beach,712500,2017,3,,Q1,,
3378,VIC,,Balwyn,2328000,2017,3,,Q1,,
3381,VIC,,Balwyn North,1869000,2017,3,,Q1,,
3384,VIC,,Bannockburn,395000,2017,3,,Q1,,
3387,VIC,,Baranduda,352000,2017,3,,Q1,,
3390,VIC,,Barnawartha,312000,2017,3,,Q1,,
3393,VIC,,Barwon Heads,945000,2017,3,,Q1,,
3396,VIC,,Baxter,496500,2017,3,,Q1,,
3399,VIC,,Bayswater,725000,2017,3,,Q1,,
3402,VIC,,Bayswater North,722000,2017,3,,Q1,,
3405,VIC,,Beaconsfield,628500,2017,3,,Q1,,
3408,VIC,,Beaconsfield Upper,575000,2017,3,,Q1,,
3411,VIC,,Beaufort,215000,2017,3,,Q1,,
3414,VIC,,Beaumaris,1538500,2017,3,,Q1,,
3417,VIC,,Beechworth,358800,2017,3,,Q1,,
3420,VIC,,Belgrave,580000,2017,3,,Q1,,
3423,VIC,,Belgrave South,745000,2017,3,,Q1,,
3426,VIC,,Bell Park,379500,2017,3,,Q1,,
3429,VIC,,Bell Post Hill,414000,2017,3,,Q1,,
3432,VIC,,Bellfield (Greater Melbourne),858500,2017,3,,Q1,,
3435,VIC,,Belmont,500000,2017,3,,Q1,,
3438,VIC,,Benalla,230000,2017,3,,Q1,,
3441,VIC,,Bendigo,497500,2017,3,,Q1,,
3444,VIC,,Bentleigh,1390000,2017,3,,Q1,,
3447,VIC,,Bentleigh East,1235000,2017,3,,Q1,,
3450,VIC,,Berwick,615000,2017,3,,Q1,,
3453,VIC,,Beveridge,455000,2017,3,,Q1,,
3456,VIC,,Birchip,70000,2017,3,,Q1,,
3459,VIC,,Birregurra,429000,2017,3,,Q1,,
3462,VIC,,Bittern,508800,2017,3,,Q1,,
3465,VIC,,Black Hill,340000,2017,3,,Q1,,
3468,VIC,,Black Rock,1865000,2017,3,,Q1,,
3471,VIC,,Blackburn,1390000,2017,3,,Q1,,
3474,VIC,,Blackburn North,1150000,2017,3,,Q1,,
3477,VIC,,Blackburn South,1208500,2017,3,,Q1,,
3480,VIC,,Blackwood,340000,2017,3,,Q1,,
3483,VIC,,Blairgowrie,842000,2017,3,,Q1,,
3486,VIC,,Blind Bight,514000,2017,3,,Q1,,
3489,VIC,,Bonbeach,850000,2017,3,,Q1,,
3492,VIC,,Bonnie Doon,390000,2017,3,,Q1,,
3495,VIC,,Boort,185300,2017,3,,Q1,,
3498,VIC,,Boronia,700100,2017,3,,Q1,,
3501,VIC,,Botanic Ridge,672000,2017,3,,Q1,,
3504,VIC,,Box Hill,1692500,2017,3,,Q1,,
