Postcode,Suburb,City,State,StateCode,Type Of Property,Rental Median Value,RentalID
"1001","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1
"1002","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,9
"1003","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,17
"1004","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,25
"1005","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,33
"1006","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,41
"1007","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,49
"1008","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,57
"1009","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,65
"1010","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,73
"1011","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,81
"1020","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,89
"1021","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,97
"1022","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,105
"1023","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,113
"1025","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,121
"1026","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,129
"1027","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,137
"1028","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,145
"1029","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,153
"1030","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,161
"1031","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,169
"1032","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,177
"1033","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,185
"1034","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,193
"1035","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,201
"1036","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,209
"1037","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,217
"1038","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,225
"1039","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,233
"1040","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,241
"1041","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,249
"1042","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,257
"1043","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,265
"1044","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,273
"1045","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,281
"1046","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,289
"1100","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,297
"1101","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,305
"1105","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,313
"1106","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,321
"1107","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,329
"1108","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,337
"1109","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,345
"1110","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,353
"1112","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,361
"1113","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,369
"1114","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,377
"1115","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,385
"1116","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,393
"1117","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,401
"1118","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,409
"1119","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,417
"1120","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,425
"1121","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,433
"1122","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,441
"1123","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,449
"1124","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,457
"1125","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,465
"1126","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,473
"1127","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,481
"1128","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,489
"1129","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,497
"1130","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,505
"1131","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,513
"1132","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,521
"1133","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,529
"1134","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,537
"1135","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,545
"1136","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,553
"1137","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,561
"1138","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,569
"1139","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,577
"1140","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,585
"1141","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,593
"1142","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,601
"1143","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,609
"1144","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,617
"1145","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,625
"1146","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,633
"1147","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,641
"1148","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,649
"1149","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,657
"1150","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,665
"1151","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,673
"1152","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,681
"1153","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,689
"1154","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,697
"1155","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,705
"1156","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,713
"1157","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,721
"1158","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,729
"1159","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,737
"1160","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,745
"1161","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,753
"1162","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,761
"1163","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,769
"1164","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,777
"1165","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,785
"1166","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,793
"1167","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,801
"1168","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,809
"1169","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,817
"1170","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,825
"1171","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,833
"1172","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,841
"1173","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,849
"1174","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,857
"1175","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,865
"1176","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,873
"1177","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,881
"1178","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,889
"1179","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,897
"1180","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,905
"1181","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,913
"1182","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,921
"1183","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,929
"1184","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,937
"1185","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,945
"1186","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,953
"1187","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,961
"1188","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,969
"1189","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,977
"1190","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,985
"1191","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,993
"1192","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1001
"1193","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1009
"1194","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1017
"1195","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1025
"1196","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1033
"1197","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1041
"1198","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1049
"1199","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1057
"1200","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1065
"1201","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1073
"1202","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1081
"1203","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1089
"1204","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1097
"1205","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1105
"1206","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1113
"1207","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1121
"1291","Sydney","Sydney","New South Wales","NSW","1 BR Flat",563,1129
