Suburb,City,State,StateCode,Latitude,Longitude,District,PostCode,SuburbId
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1175",13265
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1205",13266
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1146",13267
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1172",13268
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1173",13269
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1027",13270
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1168",13271
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1169",13272
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1136",13273
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1159",13274
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1130",13275
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1112",13276
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1007",13277
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1035",13278
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1204",13279
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1110",13280
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1031",13281
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1184",13282
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1153",13283
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1189",13284
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1174",13285
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1030",13286
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1125",13287
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1148",13288
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1294",13289
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1188",13290
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1029",13291
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1147",13292
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1028",13293
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1160",13294
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1033",13296
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1137",13297
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1034",13298
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1151",13299
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1001",13300
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1139",13301
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1131",13302
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1180",13303
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1291",13304
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1036",13305
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1181",13306
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1135",13307
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1186",13308
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1003",13309
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1206",13310
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1292",13311
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1008",13312
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1009",13313
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1113",13314
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1185",13315
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1011",13316
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1154",13317
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1171",13318
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1293",13319
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1144",13320
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1127",13321
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1010",13322
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1005",13323
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1178",13324
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1143",13325
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1179",13326
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1006",13327
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1004",13328
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1177",13329
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1182",13330
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1128",13331
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1114",13332
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1187",13333
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1026",13334
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1156",13335
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1158",13336
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1037",13337
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1126",13338
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1133",13339
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1025",13340
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1176",13341
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1134",13342
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1170",13343
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1129",13344
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1152",13345
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1157",13346
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1002",13347
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1023",13348
"Sydney","Sydney","New South Wales","NSW",-33.794883,151.268071,"","1022",13349
